tradeDate,filedDate,ticker,company,sector,side,amountMin,amountMax,description,matchRatio,rowNumber,sourceFile
2026-04-30,2026-07-01,AMSF,"AMERISAFE, Inc.",Financials,BUY,15001,50000,AMERISAFE INC,1.0,162,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-15,2026-07-01,AMGN,Amgen,Healthcare,BUY,1001,15000,AMGEN INC,1.0,163,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-15,2026-07-01,AMGN,Amgen,Healthcare,BUY,1001,15000,AMGEN INC,1.0,164,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-27,2026-07-01,AMGN,Amgen,Healthcare,SELL,15001,50000,AMGEN INC,1.0,165,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-27,2026-07-01,ADI,Analog Devices,Technology,SELL,100001,250000,ANALOG DEVICES INC,1.0,170,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-27,2026-07-01,AON,Aon,Financials,SELL,1001,15000,AON PLC,1.0,174,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-28,2026-07-01,ATR,"AptarGroup, Inc.",Healthcare,SELL,1001,15000,APTARGROUP INC,1.0,190,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-28,2026-07-01,ACHR,Archer Aviation Inc.,Industrials,BUY,1001,15000,ARCHER AVIATION INC CLASS A N,0.829,192,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-30,2026-07-01,ACA,"Arcosa, Inc.",Industrials,BUY,15001,50000,ARCOSAINC,1.0,194,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-27,2026-07-01,ANET,Arista Networks,Technology,BUY,15001,50000,Arista Networks Inc Com New,0.93,200,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-30,2026-07-01,AWI,Armstrong World Industries,Industrials,SELL,15001,50000,ARMSTRONG WORLD INDS INC,1.0,201,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-30,2026-07-01,ABG,"Asbury Automotive Group, Inc.",Consumer Discretionary,SELL,100001,250000,ASBURY AUTOMOTIVE GROUP,1.0,203,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-15,2026-07-01,ASTS,"AST SpaceMobile, Inc.",Technology,BUY,1001,15000,AST SPACEMOBILE INC CL A,0.919,205,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-07,2026-07-01,ASTS,"AST SpaceMobile, Inc.",Technology,BUY,1001,15000,AST SPACEMOBILE INC CL A,0.919,206,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-10,2026-07-01,ADSK,Autodesk,Technology,SELL,50001,100000,AUTODESK INC,1.0,222,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-10,2026-07-01,ADP,Automatic Data Processing,Industrials,SELL,100001,250000,AUTOMATIC DATA PROCESSING INC,0.939,226,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,AVB,AvalonBay Communities,Real Estate,SELL,250001,500000,AVALONBAY CMNTYS INC COM,0.923,230,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-28,2026-07-01,AVY,Avery Dennison Corporation,Consumer Discretionary,SELL,1001,15000,AVERY DENNISON CORP,1.0,232,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-27,2026-07-01,AXON,Axon Enterprise,Industrials,BUY,15001,50000,AXON ENTERPRISE INC,1.0,234,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,AXON,Axon Enterprise,Industrials,SELL,1001,15000,AXON E.NlcRPRISE INC,0.882,235,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-28,2026-07-01,AXON,Axon Enterprise,Industrials,SELL,1001,15000,AXON E.NlcRPRlSE INC,0.824,236,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,AXON,Axon Enterprise,Industrials,SELL,1000001,1000001,AXON ENTERPRISE INC COM,0.919,237,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-27,2026-07-01,BAC,Bank of America Corporation,Financials,SELL,100001,250000,BANK OF AMERICA CORP,1.0,245,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,BAX,Baxter International Inc.,Healthcare,BUY,50001,100000,BAXTER INTERNATIONAL INC,1.0,246,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,WRB,W. R. Berkley,Financials,BUY,1001,15000,BERKLEY WR CORP N,0.963,250,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,BRK.B,Berkshire Hathaway,Financials,BUY,1001,15000,BERKSHIRE HATHAWAY ClASS B N,0.829,251,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-28,2026-07-01,BRK.B,Berkshire Hathaway,Financials,SELL,1001,15000,BERKSHIRE HATHAWAY CLASS B,0.85,252,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-10,2026-07-01,BBY,"Best Buy Co., Inc.",Consumer Discretionary,SELL,50001,100000,BEST BUY COMPANY INC,1.0,257,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-28,2026-07-01,BBY,"Best Buy Co., Inc.",Consumer Discretionary,SELL,1001,15000,BEST BUY INC,1.0,256,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-15,2026-07-01,BX,Blackstone,Financials,BUY,100,50001,BLACKSTONE INC,1.0,264,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-10,2026-07-01,BX,Blackstone,Financials,SELL,15001,50000,BlACKSTONEINC,1.0,265,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-20,2026-07-01,BX,Blackstone,Financials,SELL,15001,50000,BLACKSTONE INC,1.0,266,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-15,2026-07-01,BXSL,Blackstone Secured Lending Fund,Financials,BUY,50001,100000,BLACKSTONE SECURED LENDING FUND,1.0,270,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-15,2026-07-01,OWL,Blue Owl Capital Inc.,Financials,BUY,50001,100000,BLUE OWL CAPITAL INC CL A,0.919,275,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-28,2026-07-01,BA,Boeing,Industrials,BUY,1001,15000,BOEING CO,1.0,278,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-10,2026-07-01,BA,Boeing,Industrials,BUY,100,50001,BOEING CO A,0.941,279,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,BKNG,Booking Holdings,Consumer Discretionary,BUY,100001,250000,BOOKING HLDGS INC,1.0,282,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,BKNG,Booking Holdings,Consumer Discretionary,BUY,1001,15000,BOOKING HLDGS INC,1.0,263,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-10,2026-07-01,BKNG,Booking Holdings,Consumer Discretionary,BUY,100001,250000,BOOKING HOLDINGS INC,1.0,266,Donald-J-Trump-06.25.2026-278T.pdf
2026-04-17,2026-07-01,BSX,Boston Scientific,Healthcare,SELL,1001,15000,BOSTON SCIENTIFIC CORP,1.0,288,Donald-J-Trump-06.25.2026-278T.pdf
